re_m1_svor,tepl_m,zraz_m,tlak_m,v_rh_m,v_s_m,v_rh_m_50,v_rh_m_125,vlhk_m,datetime
469.5,9.782,0.027000000000000003,980.7080000000001,1.8359999999999999,333.311,1.59,2.9,47.043,01/03/2019 00:00
469.725,9.782,0.027000000000000003,980.7080000000001,1.8359999999999999,333.311,1.59,2.9,50.431000000000004,01/03/2019 01:00
470.3250000000001,8.46,0.19699999999999998,980.857,3.908,331.918,4.217,6.966,55.303000000000004,01/03/2019 02:00
470.425,8.792,0.01,980.855,4.511,311.526,4.852,8.177999999999999,56.981,01/03/2019 03:00
471.125,7.974,0.0,980.8510000000001,4.893,304.832,4.984,7.683,63.123999999999995,01/03/2019 04:00
471.275,7.739,0.0,980.7130000000001,5.285,323.954,5.511,9.634,65.675,01/03/2019 05:00
471.35,7.2139999999999995,0.0,980.847,4.0360000000000005,320.97900000000004,4.245,5.834,68.632,01/03/2019 06:00
471.30000000000007,7.478,0.0,981.0880000000001,2.89,333.68199999999996,3.052,5.601,76.061,01/03/2019 07:00
471.275,7.405,0.0,981.6239999999999,2.6069999999999998,317.194,2.819,4.955,69.954,01/03/2019 08:00
471.025,7.77,0.0,981.7710000000001,3.138,296.877,2.8160000000000003,4.381,77.725,01/03/2019 09:00
470.775,8.032,0.0,981.665,3.42,294.546,2.553,4.397,77.42399999999999,01/03/2019 10:00
469.975,8.31,0.006,981.502,3.253,303.829,2.2230000000000003,4.547,77.42399999999999,01/03/2019 11:00
469.875,10.142000000000001,0.312,981.055,4.771,299.94,3.738,5.146,72.193,01/03/2019 12:00
469.8,11.647,0.537,980.37,5.715,304.981,4.819,6.112,61.597,01/03/2019 13:00
469.175,11.493,0.3,979.93,6.4270000000000005,295.404,6.382999999999999,8.16,58.507,01/03/2019 14:00
469.4500000000001,11.623,0.0,979.643,6.6,290.494,4.828,6.961,58.317,01/03/2019 15:00
469.675,9.318,0.135,979.682,3.958,324.35400000000004,4.58,6.9239999999999995,75.64399999999999,01/03/2019 16:00
469.9500000000001,9.956,0.0,979.538,4.7780000000000005,302.802,3.63,5.7010000000000005,67.889,01/03/2019 17:00
470.35,9.783999999999999,0.0,979.643,4.118,299.225,3.383,5.4479999999999995,67.982,01/03/2019 18:00
470.40000000000015,8.915,0.165,980.0110000000001,4.098,301.441,3.792,5.962999999999999,76.192,01/03/2019 19:00
471.0750000000001,7.831,0.7609999999999999,980.1410000000001,4.398,304.829,4.551,7.836,86.427,01/03/2019 20:00
471.3,7.8629999999999995,0.009000000000000001,980.21,4.955,305.406,5.2010000000000005,8.625,86.399,01/03/2019 21:00
470.725,8.014,0.0,980.5980000000001,6.547000000000001,312.272,6.506,10.202,83.99799999999999,01/03/2019 22:00
471.35,7.416,0.0,981.2260000000001,6.481,343.713,6.726,8.617,81.44,01/03/2019 23:00
471.25,6.737,0.03,981.855,5.815,345.917,5.882000000000001,7.693,83.035,02/03/2019 00:00
471.55,6.172000000000001,0.065,982.5039999999999,4.8469999999999995,349.251,5.218999999999999,7.106,82.529,02/03/2019 01:00
472.6,5.2410000000000005,0.0,983.1510000000001,4.066,335.681,4.293,6.3,81.35600000000001,02/03/2019 02:00
473.175,4.4,0.0,983.596,4.265,334.43300000000005,4.372,6.225,78.824,02/03/2019 03:00
473.8,3.47,0.0,983.8710000000001,3.75,344.097,4.771,5.595,78.256,02/03/2019 04:00
473.65,2.8310000000000004,0.0,984.2,4.0680000000000005,344.931,5.524,7.1339999999999995,80.737,02/03/2019 05:00
473.525,1.983,0.059000000000000004,984.643,2.568,339.36800000000005,3.931,6.335,83.755,02/03/2019 06:00
467.15,1.236,0.171,985.44,1.896,342.176,2.468,5.37,87.11399999999999,02/03/2019 07:00
468.05,1.588,0.019,986.248,2.388,177.882,2.761,4.42,82.444,02/03/2019 08:00
469.525,2.708,0.0,986.67,1.931,339.126,1.87,3.4019999999999997,75.878,02/03/2019 09:00
470.475,4.385,0.21100000000000002,986.7719999999999,3.602,336.135,3.727,4.29,66.633,02/03/2019 10:00
472.75,5.961,1.005,986.931,3.9189999999999996,342.43300000000005,4.075,4.523,55.919,02/03/2019 11:00
470.5750000000001,6.296,1.671,986.932,4.024,308.019,3.842,4.158,51.629,02/03/2019 12:00
470.9500000000001,7.151,2.128,986.459,4.454,286.241,4.6160000000000005,5.0169999999999995,52.956,02/03/2019 13:00
470.9500000000001,7.32,0.42700000000000005,986.211,5.274,298.619,4.882,5.374,55.327,02/03/2019 14:00
469.825,6.574,0.047,986.328,5.417999999999999,287.558,5.045,5.335,62.168,02/03/2019 15:00
470.15,6.65,0.0,986.257,4.481,306.04400000000004,3.772,4.249,62.916000000000004,02/03/2019 16:00
470.55000000000007,6.693,0.031,986.3430000000001,5.144,307.528,3.2739999999999996,4.427,60.391000000000005,02/03/2019 17:00
470.4,5.928999999999999,0.024,986.706,3.693,319.73900000000003,1.8659999999999999,3.016,63.769,02/03/2019 18:00
470.75,5.392,0.0,987.26,2.7,308.487,2.153,3.8789999999999996,65.73899999999999,02/03/2019 19:00
469.30000000000007,5.263999999999999,0.0,987.6260000000001,3.248,318.44,2.91,5.579,61.592,02/03/2019 20:00
470.95,4.287,0.004,987.9939999999999,2.323,310.455,1.621,2.965,72.972,02/03/2019 21:00
470.175,3.8539999999999996,0.063,988.307,2.714,294.215,2.5610000000000004,3.41,79.029,02/03/2019 22:00
470.5750000000001,4.148,0.0,988.495,2.8760000000000003,304.10400000000004,2.9130000000000003,4.511,74.29,02/03/2019 23:00
469.25000000000006,3.4789999999999996,0.0,988.422,2.45,298.372,2.667,4.203,82.195,03/03/2019 00:00
470.875,3.096,0.0,988.3960000000001,2.4130000000000003,298.57,2.7260000000000004,3.4330000000000003,81.482,03/03/2019 01:00
468.875,2.835,0.0,988.4689999999999,1.4040000000000001,294.036,1.911,3.665,84.435,03/03/2019 02:00
467.8,3.0839999999999996,0.0,988.368,0.71,321.376,1.002,2.016,84.197,03/03/2019 03:00
467.85,2.555,0.0,988.319,1.715,277.626,0.9840000000000001,0.6459999999999999,87.891,03/03/2019 04:00
470.5750000000001,2.639,0.0,988.4169999999999,1.57,255.782,1.4480000000000002,1.31,93.35700000000001,03/03/2019 05:00
471.225,3.2889999999999997,0.0,988.2260000000001,0.539,260.233,0.337,0.446,92.506,03/03/2019 06:00
472.275,3.141,0.0,988.19,0.684,257.628,0.249,0.5429999999999999,91.853,03/03/2019 07:00
471.7000000000001,3.074,0.0,988.404,2.572,174.59799999999998,2.021,1.9180000000000001,90.2,03/03/2019 08:00
470.35,3.497,0.0,988.61,2.678,150.015,2.943,2.6060000000000003,91.898,03/03/2019 09:00
470.85,3.926,0.0,988.612,2.556,176.709,2.5340000000000003,2.283,91.152,03/03/2019 10:00
471.675,4.183,0.01,988.6389999999999,1.68,188.419,1.265,1.85,93.27600000000001,03/03/2019 11:00
467.525,4.945,0.1,988.4119999999999,1.411,190.09599999999998,1.425,1.642,92.835,03/03/2019 12:00
471.1,6.106,0.145,987.921,1.2309999999999999,188.171,1.074,1.5730000000000002,89.62899999999999,03/03/2019 13:00
471.1,7.228,0.075,987.168,2.39,150.161,1.945,2.5269999999999997,85.571,03/03/2019 14:00
470.2000000000001,7.461,0.23199999999999998,986.648,3.0260000000000002,132.814,2.397,2.787,85.257,03/03/2019 15:00
469.025,7.79,0.207,986.095,2.8989999999999996,142.908,2.824,3.262,83.759,03/03/2019 16:00
468.525,7.96,0.11,985.7510000000001,3.265,151.408,3.2539999999999996,3.385,82.096,03/03/2019 17:00
465.35,7.644,0.095,985.35,3.583,152.139,4.497,4.343999999999999,82.56700000000001,03/03/2019 18:00
467.4500000000001,7.778,0.0,984.957,3.15,154.94899999999998,3.938,4.628,81.39399999999999,03/03/2019 19:00
467.8250000000001,8.132,0.0,984.54,3.105,157.73,3.8489999999999998,4.322,78.334,03/03/2019 20:00
467.65,7.3420000000000005,0.0,984.2260000000001,2.063,137.725,2.427,3.678,81.305,03/03/2019 21:00
468.2,7.311,0.0,983.7339999999999,2.633,130.696,2.697,4.284,80.579,03/03/2019 22:00
468.35,7.862,0.0,983.007,3.61,131.92600000000002,4.284,4.367,75.605,03/03/2019 23:00
468.3250000000001,7.795,0.0,982.357,2.8,124.756,4.069,4.934,74.382,04/03/2019 00:00
471.125,7.755,0.0,981.737,2.693,123.49799999999999,4.248,4.949,72.945,04/03/2019 01:00
469.92500000000007,6.917000000000001,0.0,981.562,2.657,135.29,3.529,3.955,75.313,04/03/2019 02:00
471.05,7.511,0.0,981.071,2.838,124.416,3.375,3.341,71.818,04/03/2019 03:00
470.525,6.7989999999999995,0.0,980.465,2.918,125.556,3.1260000000000003,3.365,74.811,04/03/2019 04:00
470.975,6.0489999999999995,0.0,980.188,3.15,137.936,3.515,4.337,79.175,04/03/2019 05:00
